lat,lon,inclination,elevation,dead,forecasted,orientation
46.332456429526516,7.469545284252634,,2060,2,,NW
46.088807124838425,7.2585409994890755,39.0,2340,1,,NNE
46.53431290401093,9.15573877266494,35.0,2960,1,,E
46.419983053690665,7.117350584670833,42.0,1580,1,,NNW
46.96782964573053,8.248611203930537,40.0,1860,1,,NW
46.968601659501196,10.336630275334437,38.0,2760,1,,SE
46.15785657427732,7.337989725078433,48.0,2160,1,,N
46.82474329020309,9.832032588339892,37.0,2170,1,,E
46.54036596480522,8.374674991783644,50.0,2000,1,,W
46.864385346910154,9.838520938840471,40.0,2020,1,,E
46.02130505946357,7.43385952584777,40.0,3000,2,,SE
46.7916740707128,8.412309283394253,45.0,2100,1,,NW
46.008241275065096,7.871111154322771,36.0,3300,2,,SW
46.62085268109817,10.287454273732378,41.0,2760,1,,NNW
46.665100107920324,10.017125905866044,45.0,2480,1,,ESE
46.01296162812801,7.08262289911643,40.0,2560,1,,NNW
46.7158471197749,8.783205207392225,39.0,2650,1,,ESE
45.991977903904115,7.415923060770646,49.0,3800,2,,NW
46.84331304642419,9.83915461117184,40.0,2020,1,,NNE
46.651008169169216,8.669233541022527,35.0,2320,1,,NE
46.10967473616372,7.326502965740338,36.0,2240,1,,W
46.45536362497652,7.201745575597668,42.0,2130,1,,NW
46.14325254637594,7.354775976968655,41.0,2680,1,,E
46.124876340538954,7.325695506393877,43.0,2150,1,,NW
46.02233842804688,7.104320357501558,37.0,2120,1,,NNE
46.389345745510646,7.552518866437741,37.0,3100,2,,SW
46.855602496050956,9.853871819340096,45.0,2180,1,,NE
46.90451133583508,8.440472455674298,40.0,1870,1,,NE
46.14110688331575,7.3750967140484045,36.0,2200,1,,E
46.770692013467254,8.388100888530872,38.0,2380,3,,NNW
46.41553324949023,9.90310207189823,,3220,1,,E
46.61044493343876,8.417661790233888,,3540,3,,E
46.46981257403737,7.728972123921486,,3420,2,,N
46.5029755608708,9.772839571430966,30.0,2560,1,3.0,SW
46.60275372051241,8.61266021194811,,2940,1,4.0,NW
46.03405024544358,7.199696387587717,35.0,2435,1,3.0,NE
46.6171045639031,8.6168887766841,50.0,2400,1,3.0,N
46.544797436800316,9.847426436953027,28.0,2435,1,3.0,SE
46.609951415502934,7.223259033489281,40.0,1620,1,4.0,WNW
46.0009755710616,7.438637222222222,35.0,3300,1,2.0,NNW
46.72782634136366,9.611265567079217,45.0,2800,1,2.0,WNW
46.485418882773494,9.562326202912288,,3300,2,2.0,S
47.03845709761683,8.814321704146906,47.0,1450,1,2.0,SW
46.38403690786484,9.822991413095856,45.0,2950,1,2.0,ENE
46.49554074714825,7.792284880649133,55.0,3600,2,,N
46.02004564756184,7.432697520245423,42.0,2980,1,2.0,ESE
46.0818831598854,7.943698739218424,,2680,1,2.0,SE
46.18473588958605,6.813985302014009,40.0,2100,1,2.0,WNW
46.98019524922223,8.651802516289562,38.0,1380,1,3.0,N
46.034598411431645,6.972373164994433,36.0,2240,1,2.0,N
45.87159288061903,7.178898628422033,,2400,1,3.0,NE
46.52116369310121,8.751652401988434,50.0,2540,1,3.0,WSW
46.59143989504639,7.95563203382962,45.0,2200,1,2.0,NE
46.10163150828936,7.293802277784672,43.0,2560,1,3.0,NE
46.793919604737304,10.11962071097142,42.0,2840,1,4.0,SSE
46.601829768493374,7.945681669102525,52.0,2150,2,4.0,W
46.73164574337473,9.803815179970364,38.0,2280,1,4.0,WNW
46.08511336472552,7.255062668908803,43.0,2150,1,3.0,W
46.118048817899066,7.542121836774576,,2900,9,4.0,WSW
46.128401578830704,7.533084838909389,,2900,3,4.0,WSW
46.79317818352021,8.716232019766299,,2750,1,5.0,S
46.51640125352833,8.250462023320885,,2600,1,5.0,E
46.41381470618004,9.964832939796038,42.0,2900,1,2.0,NNE
46.722573161130555,9.958495800000044,,3020,1,2.0,ENE
46.69510590346643,10.330691678922477,45.0,2750,1,2.0,NW
46.843745945820714,8.867694070746886,55.0,3080,2,,N
46.58196140728261,8.131151931602691,50.0,3880,1,,S
46.515478109736485,8.464813463458535,42.0,2930,2,,S
46.79926955949928,9.585516130513438,43.0,2300,1,3.0,NE
45.8875960577937,7.191124446432294,41.0,2200,1,3.0,WNW
46.79572683516651,10.172462789775055,33.0,2280,1,3.0,SE
46.47375103770265,7.522293430459862,,1930,1,4.0,ESE
46.067532003220556,6.943013525410228,37.0,1940,2,2.0,E
47.16453602801933,9.32543400261725,40.0,1800,1,2.0,N
46.83157233961404,9.810962131102603,,2615,3,3.0,NE
46.53262114422808,7.63637186614719,50.0,2190,1,2.0,NW
46.81381632294986,9.94703758484167,38.0,2970,1,2.0,W
